well_id,measured_depth_m,gamma_ray_api,resistivity_ohm_m,sonic_dt_us_ft,density_g_cc,neutron_porosity,caliper_in,photoelectric_factor,shale_volume,clay_content,water_saturation,hydrocarbon_saturation,permeability_md,velocity_m_s,acoustic_impedance,formation_factor,bulk_modulus_GPa,shear_modulus_GPa,poisson_ratio
WELL-1002,4080.92,140.45,140.27,101.82,,NULL,12.5,3.85,0.769,0.238,0.738,N/A,271.23,3870.82,23867486.34,1230.4473049442859,15.73,26.23,NULL
WELL-1002,4084.87,39.44,167.1,64.07,2.503,XYZ,8.54,3.97,0.336,0.248,0.337,,349.03,2124.04,10124629.43,2.66,24.07,26.36,0.368
WELL-1002,4090.68,136.74,173.18,53.24,,0.24,9.71,4.03,,0.351,0.78,0.679,216.91,3847.48,24427672.64,3.82,ERROR,ERROR,0.137
WELL-1002,4096.72,133.39,166.43,,2.61,0.187,15.36,2.9,0.338,0.335,0.571,0.734,1.75,3128.37,9936525.95,4.23,26.99,26.77,0.278
WELL-1002,4098.82,25.11,0.52,91.63,1.961,0.073,10.21,2.14,0.639,0.281,0.697,0.688,69.88,2033.45,14384858.76,2.14,29.74,23.14,0.228
WELL-1002,4103.27,98.33,116.28,97.41,2.025,0.094,15.91,3.01,ERROR,0.192,0.837,0.774,669.08,,17926280.93,4.44,1652.7256545694736,13.85,0.16
WELL-1002,4106.41,,91.15,54.14,2.521,NULL,9.99,1.63,0.275,,0.749,0.799,535.01,3971.91,10696253.21,4.13,20.44,28.7,0.224
WELL-1002,4111.31,48.23,105.09,95.06,2.42,0.141,13.15,2.13,0.406,0.161,0.675,0.788,781669.2876087562,3840.73,11867003.96,3.35,XYZ,16.83,0.183
WELL-1002,396875.1885468348,65.04,119.55,112.89,2.584,0.07,NULL,1.81,0.141,0.383,0.665,NULL,750.52,2574.45,8582791.0,4.16,N/A,29.44,
WELL-1002,4122.3,75521.7447583172,0.65,77.45,2.684,0.069,14.88,,0.39,0.34,293.47461714596983,,299.79,2841.85,24670352.86,4.74,16.06,,0.143
WELL-1002,4123.86,XYZ,79.01,91.59,2.28,0.163,14.14,3.03,0.789,0.469,0.434,0.73,934.39,2176.9,16245943.77,2.4,13.52,24.1,0.121
WELL-1002,,42.62,148.73,90.97,2.073,0.312,2335.758311386794,4.38,0.512,0.181,0.237,0.37,393.97,3732.0,21253235.26,3.54,38.16,19.14,0.196
WELL-1002,4133.25,111.0,132.02,111.39,2.422,ERROR,8.81,2.25,0.153,0.171,0.804,0.501,836.4,3852.01,7741152.87,3.78,20.06,13363.401941346154,0.326
WELL-1002,4140.82,107.16,46.27,112.17,2.038,0.055,13.01,2847.4341668339325,0.68,,0.818,0.359,166.62,2036.75,9493915.96,4.43,36.88,15.88,0.286
WELL-1002,4143.0,62.81,56.84,74.78,2.402,0.226,12.54,3.33,0.346,0.288,0.834,0.422,682.76,2700.03,N/A,2.3,48.67,18.54,0.103
WELL-1002,4149.87,,81.96,NULL,2.231,0.297,9.63,3.79,0.243,0.453,0.895,0.357,779.66,4725.72,5233020.45,1.88,42.25,21.17,0.242
WELL-1002,4151.21,58.87,192.45,74.9,2.571,0.21,12.18,4.01,0.407,0.309,0.599,0.469,171.95,4318.48,12606031551.51487,1.39,NULL,18.42,0.125
WELL-1002,4158.07,110.58,XYZ,53.13,2.048,0.273,15.3,1.42,0.12,0.329,,0.318,61.42,4546.5,21153193.83,2.05,24.87,19.84,0.176
WELL-1002,4159.01,96.33,32.45,98.62,N/A,0.25,14.01,,0.114,0.304,0.62,0.58,654.76,4324.46,14835878.92,1.75,42.13,9.63,0.199
WELL-1002,4167.27,36.4,29.57,,2.559,84.83079242109703,12.96,4.25,0.101,0.221,0.932,0.24,525.27,2883.11,11648957.39,1203.2350084165405,27.87,,0.183
WELL-1002,4170.33,148.79,177.75,58.93,1.945,0.211,15.99,XYZ,0.31,0.456,0.749,0.764,474.28,2519.88,16927428.34,4.47,32.32,12.52,0.111
WELL-1002,4173.76,141.03,41.09,74.98,2.132,,15.79,1.77,0.437,0.491,0.805,0.299,379.08,2259.04,10944361.37,5.0,47.97,9.7,0.37
WELL-1002,4178.35,121.81,76.04,77.76,2.347,0.173,11.24,246.00398013565783,0.196,166.38942587620872,0.378,0.641,418.16,4285.83,17210259.06,2.07,39.48,4213.456570950322,0.286
WELL-1002,4184.63,23.16,183.24,77.57,2.119,0.3,XYZ,3.64,,0.281,,0.674,65.16,3190.59,9913518571.194742,3.59,45.34,ERROR,0.352
WELL-1002,4186.03,79.31,102.58,85.44,2.156,0.05,10.94,3.89,0.317,0.397,0.566,295.61061966447824,89.6,2076.3,,3.96,22.76,12.4,0.396
WELL-1002,4192.09,147.06,128.87,52.87,2.601,0.072,15.68,3.49,0.125,0.253,0.619,0.565,550.97,2921.47,16262412.05,4.38,49.34,5.89,0.234
WELL-1002,4196.24,114527.13338522415,64.91,118.57,2.406,0.051,9.65,4.73,0.604,0.137,0.902,0.424,65.95,N/A,22266653.68,4.74,N/A,11044.812473021168,0.397
WELL-1002,4198.26,62.69,68.86,97.14,2.254,,13.18,4.24,84.29959440654358,0.112,0.688,0.476,65.33,XYZ,14663073.07,4.61,NULL,18.32,0.132
WELL-1002,4205.2,140.12,9.27,XYZ,2.337,0.35,15.21,3.78,0.471,0.249,0.678,0.629,240.29,2678.29,22069165.56,3.85,16.76,29.01,0.37
WELL-1002,4210.6,98.44,,86.73,2.288,0.137,11.21,2310.3741864021745,0.46,0.208,0.585,0.796,236.8,4201.43,5245391070.453458,1.57,34.78,N/A,0.157
WELL-1002,4211.33,48.23,NULL,68.38,2.638,0.233,14.65,2.33,0.689,0.4,0.476,0.708,43.77,3164.85,7459971.0,3.47,45.97,20.45,0.109
WELL-1002,4219.33,22.88,88.65,76.73,2.493,0.095,15.29,XYZ,0.409,0.224,0.68,0.408,216.63,,16356847.58,4.95,42.41,6.07,0.196
WELL-1002,4223.51,,68.96,,2.5,0.131,12.4,,0.375,0.426,0.532,0.503,146.99,4927.59,18487533788.592712,3.89,17.27,7.9,
WELL-1002,4227.75,113.85,162.71,110.6,2.671,0.289,15.87,5.0,,0.198,147.56879126519186,0.262,732.58,2950.99,5433641.22,1.53,16.65,11.48,0.115
WELL-1002,4229.01,NULL,59.27,106.86,2.491,NULL,15.39,4.91,0.259,,0.826,0.366,956.76,4818.6,19029889.59,4.48,46.82,9.91,0.114
WELL-1002,4233.11,30.24,89.59,113.37,1.975,0.091,XYZ,3.62,0.397,0.26,0.205,0.681,924.5,3803.38,18859977.81,4.72,24.04,N/A,0.332
WELL-1002,4241.52,57.22,141.13,NULL,1.957,0.055,11.42,,0.663,0.109,754.9334569091116,0.607,534.36,4666.8,2694111433.981663,4.07,29.91,25.11,0.331
WELL-1002,4245.57,142.11,123.24,99.21,2.666,0.219,11.84,,0.488,0.223,0.841,0.617,793.25,3569.41,10938322.42,1.06,20.97,22.23,0.278
WELL-1002,4250.5,145.4,33.48,83.03,2.584,0.118,8.77,2.7,0.454,0.156,0.844,0.37,377.92,2217.37,23090909.81,,28.15,18.37,0.141
WELL-1002,3165797.8650254696,147.18,XYZ,,1.915,0.118,12.84,1.1,ERROR,0.175,21.47058633984681,0.562,N/A,2662.04,7931489.83,2469.2534679067785,27.33,15.75,0.297
WELL-1002,4256.65,146.79,5.06,73.76,2.573,ERROR,12.06,ERROR,0.766,0.108,0.258,0.626,427.1,3615.07,10648536.46,3.31,26.35,15.48,0.13
WELL-1002,4262.03,44.39,29.81,107.63,1.983,0.128,8.74,,0.312,0.39,0.484,0.624,652.42,2146.99,16339499.06,3.69,23.72,22.69,0.361
WELL-1002,4267.64,97.68,99.89,98.47,2.271,0.062,12.85,XYZ,0.672,0.326,0.876,,60.52,3340.01,13406416.19,2.03,NULL,26.22,N/A
WELL-1002,4271.35,N/A,145.28,111.43,2.489,0.208,13.47,3.05,0.6,0.221,,0.297,600.37,4554.64,21095215.4,4.88,24.79,15.68,0.214
WELL-1002,4273.26,93.2,98.29,107.32,2.649,0.292,15.53,1.6,0.253,,0.845,0.708,347.21,2580.21,10486227.56,1.35,25.57,6.8,0.307
WELL-1002,4278.76,45.93,79.37,108.58,2.237,0.186,15.22,2.55,0.629,N/A,0.529,0.603,823.62,3371.42,ERROR,3.0,,,0.355
WELL-1002,4283.31,NULL,128.68,110.23,2.583,0.306,15.41,,0.434,0.125,0.915,0.55,747.37,4452.27,16787854.63,2.0,11.87,25.1,0.368
WELL-1002,4286.72,134.9,152.11,,2.234,,11162.334622331522,1.32,0.532,112.53635934693234,NULL,0.22,802.87,2579.28,14014197.94,4.01,18453.379394073167,9.61,0.237
WELL-1002,4293.2,84.7,100.87,98.07,2.499,0.252,13.67,2.34,0.169,0.316,0.492,0.261,232.53,4618.9,,1.35,16.75,7.63,0.285
WELL-1002,4296.33,120342.38271908392,0.67,110.86,2.08,0.316,15.58,3.92,0.248,92.30768894594395,0.819,0.748,,3386.49,9026887.28,2.35,21476.007313252045,25.5,0.266
WELL-1002,4302.96,ERROR,ERROR,60.97,2.104,0.232,9.04,4.8,0.451,ERROR,0.688,,576.57,2944.47,16733034.01,,39.63,7.32,0.33
WELL-1002,4304.09,74.13,121.52,117.9,2.519,0.125,15.35,4.71,0.113,0.476,0.476,0.373,426.6,XYZ,22608470.47,1.23,11.43,18.36,0.229
WELL-1002,4309.7,65.25,48.4,77.37,2.292,0.104,15.37,1.58,0.242,0.45,,0.221,60.97,3092.87,16400153.62,1.55,41.89,24.21,0.273
WELL-1002,4314.63,23627.95670216228,NULL,98.32,2.416,0.199,15.29,2.78,0.251,0.171,0.272,0.413,891.34,3285.07,17269892.44,3.33,29.84,26.55,
WELL-1002,4317.82,,116.85,,2.14,0.255,6541.267847744951,,0.364,0.218,0.21,0.406,440.33,2435.63,6131541.14,1.63,32.84,28.1,0.351
WELL-1002,4324.16,138.57,190.26,67.67,2.183,XYZ,8.82,1.22,0.762,0.173,0.529,0.274,804.63,3582.09,17057202.23,2.63,35.4,25.76,0.252
WELL-1002,4325.27,114.79,115.21,94.68,2.52,0.314,14.81,3.77,0.222,0.119,0.883,0.72,134.08,4666.74,23945946.41,2.53,16.87,19.74,0.278
WELL-1002,ERROR,94.87,168.84,112.19,2.289,0.184,9.01,1.2,0.675,0.164,0.45,0.256,55.34,4548.94,24168178.38,3.91,21.55,9.41,0.295
WELL-1002,4334.25,137.84,4721.297494858153,71.91,2.163,ERROR,12.27,3.78,0.139,0.39,0.512,0.551,510.55,3965.71,10304877.49,2.99,30.24,8.17,0.331
WELL-1002,4342.21,33.08,79.01,NULL,2.199,,15.47,3.59,0.277,,0.282,0.658,272.39,2505.98,17546058.85,2.86,45.44,2653.4180682969863,0.36
WELL-1002,N/A,92.48,132.64,78.73,2.201,0.2,9.33,,0.341,0.153,0.508,0.383,632.11,2840.82,7390765.21,XYZ,33473.11073832154,ERROR,213.6987031412494
WELL-1002,4348.3,90.72,174.48,100.81,2.419,0.337,15.02,173.5578767040015,0.4,0.322,0.8,0.291,103.41,3660.75,13890634.42,3.03,,13.21,0.144
WELL-1002,4352.04,31.15,168.05,72.45,1.923,,10.21,3.8,0.232,125.24272152091486,0.872,0.688,461.71,3461.85,14107322.33,1525.5328105955887,46.23,21.78,0.232
WELL-1002,4359.01,88.41,16.51,67.0,1567.1714877484505,0.154,9.45,3.09,0.411,0.293,0.491,0.652,471.36,3191.79,22494307.55,1.56,15.63,24.38,0.361
WELL-1002,4362.62,33.05,16553.403682032564,62.2,2.127,0.291,12.23,1.64,0.611,0.159,0.472,0.246,298.99,3224.11,7908216.18,4.05,25.21,16.45,0.313
WELL-1002,4367.5,145.41,186.36,NULL,2.235,0.338,15.87,2.76,0.487,0.424,0.806,0.657,407.54,2412.8,8301394.91,XYZ,32.82,23.51,0.389
WELL-1002,4369.83,86.58,1.3,N/A,2.583,0.265,14.65,4.44,0.118,0.303,ERROR,0.433,314.17,3917.56,,3.95,43.58,,0.214
WELL-1003,1.72,31348.740320284294,29.9,105.29,2.621,0.206,10.95,1.99,NULL,0.365,0.756,0.485,328.69,2528.11,20065473.26,4564.285345319142,,13.14,0.291
WELL-1003,8.16,60.31,35.53,,2.616,0.329,9.25,4.72,0.564,0.26,0.537,0.281,42.02,4831.9,,2.8,21.77,22.42,0.185
WELL-1003,18.71,38.69,,NULL,2.133,0.162,9.32,3.85,0.245,0.309,N/A,190.92264006912058,520.28,2317.74,9672237.88,3.25,25.02,12.44,0.364
WELL-1003,23.0,,46.75,NULL,2.271,0.319,15.85,3.02,0.529,0.404,0.993,0.445,560.02,4322.4,,2.07,20.0,ERROR,0.381
WELL-1003,27.12,N/A,103.69,104.39,2.246,0.21,XYZ,4.66,0.522,0.136,0.548,0.466,49.14,2381.29,23914005.51,N/A,48.29,12473.551670015051,0.173
WELL-1003,32.83,132.28,35.87,96.53,2.172,XYZ,4676.6927188702475,ERROR,0.21,0.351,0.409,0.694,990.93,2155.15,11102682.74,2.61,17.38,6.41,0.251
WELL-1003,39.27,126.64,ERROR,111.86,2.153,,12.54,4.64,0.42,0.375,0.39,0.686,723.72,3999.3,7127980.23,1.96,22.89,NULL,
WELL-1003,48.24,98.75,12.96,84.67,2.447,0.263,11.45,2.09,0.328,,0.535,0.689,81.21,2445.92,12475540.62,3.26,35.55,8.28,0.292
WELL-1003,55.44,40.12,NULL,97.94,1.978,0.315,13.52,3.56,0.352,0.392,0.726,0.794,984.17,4409.36,21189541.77,2.35,37.26,25.13,0.322
WELL-1003,62.27,78.35,ERROR,116.69,NULL,0.169,14.08,4.26,0.621,0.471,0.215,0.73,382.09,3872.52,5749808.98,4.53,19.76,7.27,0.137
WELL-1003,64.86,,101.02,57.23,1444.8353087930918,0.115,13.53,1.69,0.483,0.145,0.838,0.292,661.9,2348.09,11540094.3,3.06,41.12,16.33,0.317
WELL-1003,74.4,71.31,45.01,82.35,2.008,0.079,11.51,1663.809126684484,0.795,0.491,0.352,0.603,142.77,2047.9,15775213.76,1.62,47.61,13.52,0.36
WELL-1003,82.75,76.52,30.54,81.49,2.524,0.182,,4.08,0.616,0.239,0.425,0.615,907.41,,7794907.86,2.46,,18.49,0.323
WELL-1003,83.22,69.16,45.44,N/A,1224.3317595818012,0.276,10.39,4.39,0.51,0.356,0.6,0.389,270.59,1530184.7209739392,13119176.75,3.08,,NULL,0.179
WELL-1003,93.75,42.06,174.21,113.7,2.184,0.196,11.48,N/A,0.181,0.499,N/A,0.495,,4414.05,18683382.32,1.56,40.81,17.79,0.141
WELL-1003,96.64,118.31,194.13,89.56,1.952,0.209,4426.587790241653,4.79,0.764,0.49,0.433,ERROR,443.73,2068.71,8527799.07,2.79,30.69,17.45,0.183
WELL-1003,104.02,87.72,186.96,99.49,2.673,0.112,12.48,4.87,53.301865425363566,0.262,0.695,0.689,451.75,1248685.1506194077,8155060.56,ERROR,29.73,29.83,0.193
WELL-1003,112.66,71.91,58.44,87.77,2.53,0.069,9.65,2.05,,0.19,0.476,0.243,793.07,2303.23,5642537.18,1.58,18.88,6.78,0.181
WELL-1003,117.33,107.11,120.93,87.12,2.625,0.315,12.07,3.64,0.213,0.171,28.258021021407323,0.754,,4555.8,11859867.73,4.05,38.56,16.5,0.345
WELL-1003,123.22,89.12,26.04,59126.79171327367,2.104,0.143,14.8,4.61,0.319,135.52265996437987,0.807,527.3932262306123,267.03,4867.29,12990078.93,2.83,49.09,12.35,ERROR
WELL-1003,127.37,105.62,97.52,94.95,2.021,74.12438393261515,10.47,4.99,0.224,0.325,,0.714,201.83,3545.79,18194004.33,4.38,33.91,20.49,0.322
WELL-1003,138.72,98.03,71.52,51.87,2.281,0.215,10.98,1.51,0.73,103.35920960273793,0.701,0.532,845.05,4154.13,23640562.76,2.86,16.51,19033.19927955281,0.235
WELL-1003,140.59,114.3,72.92,100.06,,0.123,XYZ,1.77,0.155,,0.207,0.608,871.2,3620.07,20795416.57,4.25,35.11,7.26,0.105
WELL-1003,148.82,65.27,18.72,113.86,2.523,0.061,10.66,1.34,0.71,,0.936,0.459,446.25,3659.05,13264683030.666039,3.27,28.28,26.23,0.314
WELL-1003,152.91,93.51,111.32,72.34,2.017,0.322,11.16,1.41,0.273,237.29558969626387,0.975,0.418,133.06,4666.6,5645479.24,4.27,21.57,11049.645830138352,0.236
WELL-1003,161.03,118.99,156.42,68.26,NULL,0.32,9.04,N/A,0.128,0.244,NULL,0.451,232.6,N/A,23773106.26,3.69,45.84,6.74,XYZ
WELL-1003,171.06,101.05,173.45,116704.97670227807,2.089,0.31,,4.07,0.29,0.141,0.826,,813.95,3337.6,21030017.02,3.18,12.95,7.92,0.266
WELL-1003,175.65,121.09,92.72,XYZ,2.156,0.198,12.23,NULL,XYZ,0.477,0.365,0.673,ERROR,2464.98,24610309.71,4.94,20.35,25.87,0.398
WELL-1003,179.02,135.5,95.56,83.81,2.125,0.265,10.83,3.69,0.577,0.435,,0.474,817.16,2768.82,24098793.92,4.41,39.95,6.15,0.343
WELL-1003,190.28,6124.5438322658,124.96,54.5,1.933,,14.01,3.03,NULL,0.438,0.935,0.651,ERROR,4434.84,21703407.23,2.37,48.1,6.47,0.394
WELL-1003,192.15,97.11,155.31,105.79,2.68,67.04543545055837,1645.4988588232281,2.45,0.624,0.358,,0.462,,4443.15,21024887.01,2.94,20.06,ERROR,0.268
WELL-1003,200.6,27569.070410052627,14.64,63.4,2.141,,10.9,4.9,0.491,0.292,0.212,0.681,868.93,N/A,,4.3,14.1,13.42,0.362
WELL-1003,209.12,104.35,129.28,96.58,1.978,0.162,15.28,3.09,,0.272,0.568,0.46,254.01,4891.24,NULL,2.0,36.83,5.92,0.277
WELL-1003,215.12,73.79,171.96,99.12,2.413,NULL,9.62,2.89,0.529,0.301,0.386,0.592,41.47,3000.36,13184016.85,1.68,10.15,28.08,0.329
WELL-1003,221.58,58.84,30.28,87.18,ERROR,0.155,11.76,3.76,0.601,0.241,0.295,0.701,761.7,3036.35,6032274.91,4.97,12.56,27.38,0.103
WELL-1003,223.64,139.85,34.35,118.7,2.164,0.121,10.74,2.66,0.258,XYZ,0.717,0.424,325.22,4611.91,9416818.87,2.46,33.66,27.18,0.271
WELL-1003,232.49,62.47,107.44,76.97,2.203,,3427.6063494540845,,0.563,0.123,0.915,0.663,988.35,3212.4,17908296.45,1296.8280654050336,36.36,23.58,0.262
WELL-1003,115714.02407267914,53141.82804666462,135.19,XYZ,2.574,0.08,8.72,,0.558,0.204,0.747,0.515,959.89,2794.38,8500671.47,2.08,36.83,14.63,0.151
WELL-1003,242.86,144.93,190.65,78.45,2.116,0.078,14.5,3.21,0.178,0.398,0.458,0.696,952.14,ERROR,23576976.27,1.51,,11.12,0.157
WELL-1003,249.81,121.27,NULL,82.81,2.111,46.87283111676189,11.45,4.44,0.376,0.308,0.596,0.769,834.26,4110.6,10190365.61,4.62,15.17,14.19,0.26
WELL-1003,259.51,137.75,189.03,82381.8687192928,2.324,0.133,15.16,2061.413717490908,0.423,0.416,0.977,0.424,483.72,4671.93,21640552.6,4.8,45.75,10.61,0.117
WELL-1003,261.57,126.55,181.66,52.95,458.7836754643368,0.285,11.05,2.08,,0.184,0.806,0.65,44.88,2059.26,,4.57,21.61,11.75,0.4
WELL-1003,271.96,,191.51,91.44,2.458,0.319,,2.51,0.246,0.495,0.31,0.707,299.83,4611.29,6070592.06,4.58,30.37,7.87,0.37
WELL-1003,273.88,55636.75972250954,XYZ,69.11,2.017,,15.27,786.1598454867177,0.721,,0.664,0.303,495.45,4540.07,XYZ,1.18,14.57,ERROR,0.303
WELL-1003,284.98,123.27,97.97,84.09,ERROR,0.231,12.8,1.48,0.593,0.137,0.454,0.21,180170.30193721442,NULL,21740742.44,1.51,24.15,,
WELL-1003,290.57,122.52,182.12,52.88,2.307,116.17457560156541,9.46,XYZ,0.726,0.201,0.998,0.352,391.66,NULL,N/A,1.58,28.02,7.47,NULL
WELL-1003,298.7,46.22,70.56,63.53,2.65,0.106,11.7,XYZ,0.37,ERROR,,0.756,608.44,3279.29,19478620.86,1.13,44.27,28.68,0.346
WELL-1003,,ERROR,N/A,71.54,2.507,0.09,15.43,1.69,0.494,0.224,0.669,0.555,964.36,3177.56,14456125.59,1.57,27.39,11.55,0.372
WELL-1003,306.53,27.49,42.19,114.19,XYZ,0.148,15.28,3.39,0.255,0.225,0.448,XYZ,839.43,2245.26,9992273.14,794.4061059232357,41.55,20.9,0.226
WELL-1003,316.05,XYZ,170.35,109.82,2.67,0.096,4625.107654858041,4.07,0.194,0.32,0.354,0.403,77.8,2381954.5623033997,18607756.99,2.67,47.38,13.71,0.299
WELL-1003,318.37,67.69,,107.56,2.323,0.192,12.46,2.84,0.52,,,,573.65,3152.8,13534546.38,1.87,25046.278196752042,24.27,0.299
WELL-1003,,120.56,7.78,XYZ,2.171,0.33,11.8,4.02,0.61,0.204,0.782,0.695,140.51,4228.93,,4.28,37.4,22.65,NULL
WELL-1003,336.02,ERROR,145.34,NULL,2.29,0.067,XYZ,2.94,0.703,0.259,0.535,0.569,788.23,3944.19,7522273.55,3.71,35.01,25.33,0.169
WELL-1003,338.19,99.7,44.38,52.9,2.476,0.104,10.41,1.95,0.689,0.217,0.729,0.287,498.94,2850.93,,2.5,42.81,26.14,0.133
WELL-1003,347.64,34.07,N/A,51.9,,0.284,9.59,3.19,0.272,0.28,0.661,0.262,174.9,3065.08,11125413.22,2.93,45988.688941518885,18.79,0.12
WELL-1003,350.43,115.99,194.71,89.14,1.942,0.143,14.74,1.75,0.111,0.393,0.67,0.645,813.54,2208.61,14896951.92,4.25,43.65,18.03,0.198
WELL-1003,357.76,52.39,50.73,108.13,,N/A,9.94,4.67,0.508,0.28,0.949,0.362,155.74,3164.2,22615500.88,1.84,30.72,11.04,0.303
WELL-1003,365.78,116.45,101.85,93.99,2.034,ERROR,13.71,4.43,0.542,0.337,0.683,0.541,499.82,2204.01,18073882.29,3.91,22.97,29.13,0.263
WELL-1003,375.43,111.18,41.77,81.84,2.364,0.141,13.23,,0.656,0.195,NULL,0.71,23.56,4542.06,,4.65,28.53,18.67,0.233
WELL-1003,337139.4157424093,118.36,89.15,66.32,2163.830864278152,98.99191891006936,,4.97,0.578,0.192,0.512,0.221,638.07,1283816.817811532,23754538.12,4.59,20.32,22.01,0.135
WELL-1003,386.73,49.37,174.82,,2.448,0.168,9.11,3.5,0.664,0.387,,NULL,970.51,2845.84,,2.55,44.97,15.53,0.36
WELL-1003,393.25,119.91,ERROR,56.42,2.114,0.236,14.43,1.76,0.777,,0.204,0.471,549.87,4487.58,12819808.07,1.46,34.64,23.79,94.4049553603466
WELL-1003,399.63,34.83,79.98,50.51,2.365,0.264,15.11,1.48,0.531,0.292,0.4,0.609,291.55,3612.26,7841037.83,1.26,39.22,N/A,0.368
WELL-1003,403.0,102.42,52.4,89.27,1.972,,9.22,2.05,0.101,0.419,0.231,90.89931308728086,494.37,3488.77,20561210.43,4.37,48.19,22.87,0.389
WELL-1003,412.28,149.35,130.46,83.94,2.039,XYZ,13.56,1.23,45.608134531013526,0.361,0.748,0.626,897.93,2021.56,11760476.53,3.43,19.84,,0.38
WELL-1003,417.09,48.03,137.31,73.15,2.548,0.088,15.45,4.59,XYZ,0.47,0.666,0.388,551.17,3533.89,ERROR,2.63,38.39,9.12,0.26
WELL-1003,420.7,XYZ,53.68,91.99,2.625,0.25,15.15,4.29,0.667,0.311,0.831,0.77,,3005.85,18741359.29,2.72,42.32,ERROR,0.239
WELL-1003,429.92,105.52,173.63,59.3,1.971,0.325,11.32,4.67,0.255,0.248,0.941,0.635,953.8,2442.53,ERROR,2.68,18.92,9.88,XYZ
WELL-1003,,7757.982663639122,166.13,55.81,2.122,0.229,12.67,2.53,0.454,0.349,0.627,0.269,852.42,3463.44,18367225.07,4.28,36.03,1953.5864587321262,0.399
WELL-1003,441.77,40.51,187.49,51.13,ERROR,,13.35,2.55,0.111,0.114,0.635,XYZ,962.09,2951.36,18267525.52,4.34,20.0,6.92,0.268
WELL-1003,451.21,N/A,177.23,105.29,2.528,0.24,12.46,2.21,N/A,,NULL,0.282,583.29,2595.81,12804131.94,4.29,16.55,27.01,0.125
WELL-1003,454.93,122.16,107.61,117.02,2.114,0.128,14.25,3.41,,0.3,0.872,0.366,97.5,2577.5,19202170.88,3.05,21.23,,0.326
WELL-1003,464.4,24.78,148.08,103.53,2.317,0.067,9.1,838.4771491787714,0.773,,0.478,291.70019414641007,443.46,4306.87,11682570.73,3.09,12.76,20.36,0.356
WELL-1003,ERROR,50.05,141236.5590705593,81.94,1.961,0.328,10.71,4.38,,0.388,0.52,0.682,36.62,3505.87,5525193.08,3.92,11.43,9.71,ERROR
WELL-1003,471.64,35.79,17301.763431480857,116.55,2.309,0.303,15.52,2.83,0.72,0.499,0.797,105.53847696580316,682.96,2809.2,XYZ,2.13,,18.12,0.325
WELL-1003,482.77,137.2,134.91,70.05,834.4500265539979,0.249,8.59,1.54,0.519,0.241,XYZ,0.528,735.48,4143.21,18147685.77,1.88,39.62,13.12,0.345
WELL-1003,489.98,121.09,50.27,104.71,2.096,0.062,13.59,2.2,0.197,0.189,0.91,0.38,ERROR,2399.94,5086201.56,,16.81,13.78,0.25
WELL-1003,493.2,109.12,88.57,21944.806629259787,,0.138,14241.811327670244,3.36,0.74,0.483,,ERROR,839.05,3914.96,19911267.31,,19.39,23.84,0.273
WELL-1003,500.73,,86.84,62.3,2.301,92.18765457339302,12.97,2.58,0.686,0.339,0.446,0.286,333.09,2739.0,5986182.28,N/A,962.8473985316118,17.38,0.219
WELL-1003,505.22,127.7,36.67,112.74,2.68,39.16676894330124,12.35,2.26,0.601,0.312,0.224,N/A,882.69,ERROR,,3.54,39.4,11.87,220.01206006118585
WELL-1003,512.2,95.36,113.68,102.43,2.004,NULL,11.13,4.6,0.116,0.245,XYZ,0.642,671.35,2823.28,19596260.84,2.7,30168.935182501482,11.14,
WELL-1003,,49.23,64.98,66.86,1135.4237021114432,0.07,15.61,3.67,0.545,0.224,0.931,0.308,224.03,4837.0,7107693.36,1.55,26.77,6.16,0.286
WELL-1003,522.47,31.07,24.9,52.14,2.094,0.222,15.39,4.1,0.297,0.452,0.57,0.566,277.55,3376.69,15431633.56,2.54,25.41,5.06,0.195
WELL-1003,534.07,23.09,39.74,67.37,2.001,0.299,12.33,ERROR,0.726,0.117,0.884,0.685,N/A,3339.18,8355954.21,1.65,23.74,18.05,ERROR
WELL-1003,538.87,54.25,128.14,102.69,2.21,0.332,1501.2783926572463,3.27,0.611,0.218,0.4,0.541,381.08,3508.16,8170592.34,2.87,46.07,2355.461180305571,0.149
WELL-1003,544.87,,17.66,107.25,1.932,0.141,15.29,2.88,0.35,158.73580032201374,0.783,0.435,763.71,3460.99,,2.49,ERROR,16.58,0.283
WELL-1003,551.18,111.82,ERROR,115.2,2.214,0.217,10.93,3.38,,NULL,0.488,0.501,569.01,2731.87,15409516.61,,48.64,16.43,0.265
WELL-1003,558.44,43399.42832809467,59.0,89.91,552.2556817980536,0.144,2512.271928747033,3.49,0.538,0.394,352.741930506649,NULL,732.85,3135.39,18237589.73,2.66,22.1,17.12,0.286
WELL-1003,564.9,34.76,122.47,103.93,2.647,0.258,11.45,1161.2465363514912,0.341,0.478,0.487,0.466,484.53,3162146.6766900653,23366591.26,4.44,28.94,7863.626998499541,0.341
WELL-1003,569.02,120.11,88.15,68.77,1.905,0.187,9.57,4.53,0.461,106.39810892605038,0.986,0.258,370.78,NULL,11108736.57,1.17,31.32,13.35,0.15
WELL-1003,577.05,64.51,101.29,53.18,2.095,0.084,10.92,3.25,0.309,0.231,0.306,0.509,623.43,2567.63,9650190.92,N/A,10.9,15.69,0.109
